timestamp,dissolved_oxygen,pH,temperature,OD600,agitation,feeding_rate
2024-01-15T08:00:00,94.79,6.819,28.46,0.575,198.8,0.0
2024-01-15T08:05:00,97.3,6.822,27.86,0.466,202.7,0.0
2024-01-15T08:10:00,94.16,6.804,27.43,0.432,191.4,0.0
2024-01-15T08:15:00,93.27,6.805,27.73,0.418,192.9,0.0
2024-01-15T08:20:00,94.38,6.796,27.57,0.723,197.3,0.0
2024-01-15T08:25:00,92.93,6.804,27.82,0.52,198.5,0.0
2024-01-15T08:30:00,97.36,6.791,27.68,0.414,204.1,0.0
2024-01-15T08:35:00,94.83,6.731,27.6,0.322,201.0,0.0
2024-01-15T08:40:00,94.7,6.785,27.91,0.616,192.6,0.0
2024-01-15T08:45:00,93.68,6.819,28.1,0.398,191.2,0.0
2024-01-15T08:50:00,93.73,6.766,28.18,0.556,205.2,0.0
2024-01-15T08:55:00,92.98,6.775,28.1,0.647,204.9,0.0
2024-01-15T09:00:00,93.89,6.75,27.64,0.436,204.1,0.0
2024-01-15T09:05:00,93.99,6.812,28.11,0.712,196.8,0.0
2024-01-15T09:10:00,96.33,6.779,28.47,0.564,186.9,0.0
2024-01-15T09:15:00,94.09,6.77,28.03,0.634,190.1,0.0
2024-01-15T09:20:00,94.42,6.822,27.84,0.478,196.0,0.0
2024-01-15T09:25:00,95.19,6.786,27.84,0.437,202.6,0.0
2024-01-15T09:30:00,95.2,6.754,27.9,0.527,198.0,0.0
2024-01-15T09:35:00,94.12,6.781,28.0,0.294,198.8,0.0
2024-01-15T09:40:00,92.98,6.762,27.76,0.302,199.2,0.0
2024-01-15T09:45:00,96.37,6.776,28.08,0.575,199.6,0.0
2024-01-15T09:50:00,93.43,6.771,28.74,0.227,199.0,0.0
2024-01-15T09:55:00,93.35,6.733,28.34,0.561,203.8,0.0
2024-01-15T10:00:00,91.97,6.809,27.58,0.635,202.9,0.0
2024-01-15T10:05:00,91.78,6.748,28.03,0.846,197.5,0.0
2024-01-15T10:10:00,93.3,6.732,28.14,0.285,195.4,0.0
2024-01-15T10:15:00,91.95,6.753,28.24,0.751,193.8,0.0
2024-01-15T10:20:00,95.02,6.713,28.06,0.554,201.3,0.0
2024-01-15T10:25:00,91.13,6.72,28.16,0.637,201.5,0.0
2024-01-15T10:30:00,93.44,6.738,28.07,0.558,201.5,0.0
2024-01-15T10:35:00,95.65,6.771,27.64,0.414,203.3,0.0
2024-01-15T10:40:00,93.96,6.79,27.75,0.376,204.8,0.0
2024-01-15T10:45:00,93.94,6.811,27.93,0.585,196.2,0.0
2024-01-15T10:50:00,91.42,6.75,28.1,0.39,201.4,0.0
2024-01-15T10:55:00,92.59,6.795,27.92,0.648,213.6,0.0
2024-01-15T11:00:00,91.21,6.718,28.14,0.619,198.9,0.0
2024-01-15T11:05:00,93.14,6.746,27.75,0.633,192.4,0.0
2024-01-15T11:10:00,93.65,6.754,27.63,0.459,200.9,0.0
2024-01-15T11:15:00,90.97,6.75,28.02,0.585,194.3,0.0
2024-01-15T11:20:00,93.06,6.777,28.32,0.581,193.1,0.0
2024-01-15T11:25:00,92.93,6.758,28.15,0.388,219.3,0.0
2024-01-15T11:30:00,93.79,6.77,28.2,0.615,198.4,0.0
2024-01-15T11:35:00,90.85,6.733,27.85,0.644,200.4,0.0
2024-01-15T11:40:00,89.14,6.759,27.52,0.878,197.6,0.0
2024-01-15T11:45:00,91.97,6.705,27.79,0.695,203.4,0.0
2024-01-15T11:50:00,92.13,6.737,27.8,0.422,210.7,0.0
2024-01-15T11:55:00,88.7,6.74,27.8,0.628,204.3,0.0
2024-01-15T12:00:00,91.49,6.748,28.26,0.414,194.0,0.0
2024-01-15T12:05:00,90.88,6.712,28.53,0.484,202.0,0.0
2024-01-15T12:10:00,92.9,6.794,28.31,0.346,192.4,0.0
2024-01-15T12:15:00,93.36,6.708,28.13,0.463,203.9,0.0
2024-01-15T12:20:00,91.3,6.631,27.69,0.397,198.7,0.0
2024-01-15T12:25:00,93.77,6.683,27.87,0.35,200.7,0.0
2024-01-15T12:30:00,89.1,6.76,28.0,0.754,195.1,0.0
2024-01-15T12:35:00,91.48,6.706,28.02,0.608,198.1,0.0
2024-01-15T12:40:00,92.1,6.77,27.63,0.556,210.7,0.0
2024-01-15T12:45:00,90.81,6.738,28.08,0.247,196.9,0.0
2024-01-15T12:50:00,90.23,6.702,28.25,0.509,201.8,0.0
2024-01-15T12:55:00,92.25,6.727,28.24,0.437,203.1,0.0
2024-01-15T13:00:00,89.99,6.739,28.18,0.417,199.9,0.0
2024-01-15T13:05:00,92.68,6.698,28.16,0.56,199.0,0.0
2024-01-15T13:10:00,92.34,6.739,28.24,0.51,206.5,0.0
2024-01-15T13:15:00,91.65,6.703,28.1,0.547,199.3,0.0
2024-01-15T13:20:00,91.45,6.687,28.63,0.559,195.0,0.0
2024-01-15T13:25:00,92.22,6.733,28.19,0.363,203.1,0.0
2024-01-15T13:30:00,89.07,6.711,27.8,0.544,204.9,0.0
2024-01-15T13:35:00,89.11,6.697,28.12,0.524,197.2,0.0
2024-01-15T13:40:00,90.64,6.713,27.85,0.424,197.6,0.0
2024-01-15T13:45:00,88.04,6.662,27.78,0.583,198.9,0.0
2024-01-15T13:50:00,92.35,6.729,27.95,0.595,199.9,0.0
2024-01-15T13:55:00,90.04,6.693,28.1,0.399,195.9,0.0
2024-01-15T14:00:00,89.56,6.697,28.12,0.677,203.5,0.0
2024-01-15T14:05:00,87.5,6.695,28.03,0.544,196.1,0.0
2024-01-15T14:10:00,87.8,6.732,28.29,0.612,210.8,0.0
2024-01-15T14:15:00,88.26,6.689,28.66,0.499,196.0,0.0
2024-01-15T14:20:00,85.94,6.614,27.84,0.493,196.2,0.0
2024-01-15T14:25:00,87.24,6.729,28.29,0.647,197.1,0.0
2024-01-15T14:30:00,87.35,6.627,28.55,0.496,205.9,0.0
2024-01-15T14:35:00,83.92,6.702,27.97,0.566,206.2,0.0
