timestamp,dissolved_oxygen,pH,temperature,OD600,agitation,feeding_rate
2024-01-25T08:00:00,95.98,6.774,27.55,0.632,216.4,0.0
2024-01-25T08:05:00,94.22,6.804,27.93,0.469,200.6,0.0
2024-01-25T08:10:00,94.62,6.746,27.95,0.791,197.7,0.0
2024-01-25T08:15:00,97.48,6.802,27.62,0.822,193.9,0.0
2024-01-25T08:20:00,95.55,6.779,27.86,0.505,197.0,0.0
2024-01-25T08:25:00,89.38,6.745,27.81,0.497,206.0,0.0
2024-01-25T08:30:00,95.09,6.804,28.39,0.32,206.3,0.0
2024-01-25T08:35:00,93.57,6.763,27.93,0.491,197.8,0.0
2024-01-25T08:40:00,95.53,6.818,28.38,0.629,209.3,0.0
2024-01-25T08:45:00,97.01,6.775,28.36,0.533,205.3,0.0
2024-01-25T08:50:00,94.69,6.76,27.58,0.732,199.8,0.0
2024-01-25T08:55:00,93.73,6.824,28.25,0.851,198.6,0.0
2024-01-25T09:00:00,87.83,6.732,27.73,0.802,195.9,0.0
2024-01-25T09:05:00,94.98,6.804,28.18,0.582,195.2,0.0
2024-01-25T09:10:00,95.16,6.757,27.53,0.233,204.9,0.0
2024-01-25T09:15:00,97.72,6.793,28.19,0.822,206.8,0.0
2024-01-25T09:20:00,96.67,6.796,28.27,0.364,200.9,0.0
2024-01-25T09:25:00,94.62,6.716,28.44,0.801,195.3,0.0
2024-01-25T09:30:00,93.86,6.834,28.34,0.791,202.2,0.0
2024-01-25T09:35:00,94.96,6.69,28.04,0.624,194.4,0.0
2024-01-25T09:40:00,91.39,6.726,28.48,0.549,205.3,0.0
2024-01-25T09:45:00,94.32,6.767,28.17,0.51,196.6,0.0
2024-01-25T09:50:00,93.28,6.758,28.01,0.735,197.0,0.0
2024-01-25T09:55:00,92.59,6.797,28.36,0.586,196.4,0.0
2024-01-25T10:00:00,94.79,6.755,28.14,0.483,202.8,0.0
2024-01-25T10:05:00,92.33,6.732,27.91,0.757,195.2,0.0
2024-01-25T10:10:00,91.03,6.878,28.39,0.641,200.1,0.0
2024-01-25T10:15:00,89.91,6.885,27.82,0.709,199.4,0.0
2024-01-25T10:20:00,94.64,6.721,28.03,0.1,197.3,0.0
2024-01-25T10:25:00,91.68,6.78,27.62,0.273,196.3,0.0
2024-01-25T10:30:00,99.29,6.79,27.72,0.665,198.2,0.0
2024-01-25T10:35:00,92.6,6.808,28.07,0.523,204.5,0.0
2024-01-25T10:40:00,96.32,6.759,27.71,0.446,210.9,0.0
2024-01-25T10:45:00,91.62,6.737,28.75,0.107,209.0,0.0
2024-01-25T10:50:00,92.49,6.874,28.11,0.854,204.9,0.0
2024-01-25T10:55:00,93.07,6.752,27.94,0.559,203.0,0.0
2024-01-25T11:00:00,93.05,6.83,27.11,0.601,202.5,0.0
2024-01-25T11:05:00,95.65,6.759,28.06,0.681,204.9,0.0
2024-01-25T11:10:00,92.34,6.772,28.5,0.855,189.4,0.0
2024-01-25T11:15:00,96.27,6.809,28.16,0.365,197.8,0.0
2024-01-25T11:20:00,91.59,6.828,27.81,0.322,200.5,0.0
2024-01-25T11:25:00,94.76,6.733,27.97,0.352,191.6,0.0
2024-01-25T11:30:00,92.83,6.697,28.63,0.159,189.7,0.0
2024-01-25T11:35:00,92.8,6.739,27.67,0.342,195.2,0.0
2024-01-25T11:40:00,92.06,6.842,28.02,0.3,205.9,0.0
2024-01-25T11:45:00,95.16,6.627,27.91,0.638,206.5,0.0
2024-01-25T11:50:00,96.57,6.819,27.86,0.395,197.5,0.0
2024-01-25T11:55:00,91.14,6.696,28.13,0.296,192.7,0.0
2024-01-25T12:00:00,93.91,6.675,28.46,0.661,202.6,0.0
2024-01-25T12:05:00,90.74,6.777,28.34,0.694,199.5,0.0
2024-01-25T12:10:00,92.49,6.799,28.09,0.976,202.9,0.0
2024-01-25T12:15:00,93.18,6.714,27.75,0.151,208.7,0.0
2024-01-25T12:20:00,90.03,6.73,27.61,0.479,207.2,0.0
2024-01-25T12:25:00,93.43,6.806,27.85,0.371,202.7,0.0
2024-01-25T12:30:00,97.69,6.786,27.94,0.296,196.1,0.0
2024-01-25T12:35:00,91.37,6.831,27.63,0.503,200.7,0.0
2024-01-25T12:40:00,91.82,6.737,27.97,0.525,204.4,0.0
2024-01-25T12:45:00,92.97,6.604,28.09,0.667,191.7,0.0
2024-01-25T12:50:00,95.3,6.698,27.92,0.676,197.0,0.0
2024-01-25T12:55:00,92.14,6.816,28.12,0.809,201.2,0.0
2024-01-25T13:00:00,93.72,6.659,28.03,0.547,199.6,0.0
2024-01-25T13:05:00,91.4,6.69,28.0,0.695,194.6,0.0
2024-01-25T13:10:00,93.41,6.761,28.14,0.1,206.5,0.0
2024-01-25T13:15:00,88.5,6.731,27.9,0.383,195.8,0.0
2024-01-25T13:20:00,90.29,6.651,27.87,0.515,194.3,0.0
2024-01-25T13:25:00,90.14,6.782,28.48,0.586,203.4,0.0
2024-01-25T13:30:00,94.95,6.802,28.01,0.185,206.6,0.0
2024-01-25T13:35:00,87.31,6.696,28.52,0.411,192.5,0.0
2024-01-25T13:40:00,91.54,6.706,27.87,0.535,200.4,0.0
2024-01-25T13:45:00,88.21,6.738,28.32,0.409,204.3,0.0
2024-01-25T13:50:00,88.54,6.714,28.47,0.354,203.2,0.0
2024-01-25T13:55:00,93.3,6.745,28.04,0.695,203.3,0.0
2024-01-25T14:00:00,88.07,6.758,28.37,0.415,194.4,0.0
2024-01-25T14:05:00,94.98,6.724,27.75,0.723,200.6,0.0
2024-01-25T14:10:00,89.76,6.742,27.52,0.415,192.8,0.0
2024-01-25T14:15:00,91.04,6.737,28.56,0.543,200.5,0.0
2024-01-25T14:20:00,88.85,6.755,27.84,0.674,200.4,0.0
2024-01-25T14:25:00,93.31,6.661,27.32,0.516,198.9,0.0
2024-01-25T14:30:00,91.28,6.774,28.13,0.646,197.2,0.0
2024-01-25T14:35:00,90.35,6.764,27.88,0.1,200.1,0.0
2024-01-25T14:40:00,88.55,6.745,28.49,0.636,199.1,0.0
2024-01-25T14:45:00,90.63,6.616,28.1,0.288,202.3,0.0
2024-01-25T14:50:00,90.29,6.733,27.74,0.92,198.2,0.0
2024-01-25T14:55:00,90.24,6.7,28.09,0.2,196.9,0.0
2024-01-25T15:00:00,89.87,6.698,28.02,0.563,200.2,0.0
2024-01-25T15:05:00,90.3,6.696,27.95,0.716,196.4,0.0
2024-01-25T15:10:00,95.09,6.669,27.92,0.464,198.1,0.0
2024-01-25T15:15:00,89.72,6.722,27.49,0.49,205.2,0.0
2024-01-25T15:20:00,87.62,6.606,27.71,0.688,198.8,0.0
2024-01-25T15:25:00,91.59,6.626,27.79,1.127,199.7,0.0
2024-01-25T15:30:00,87.35,6.7,27.78,0.604,194.5,0.0
2024-01-25T15:35:00,92.0,6.743,28.17,0.606,197.5,0.0
2024-01-25T15:40:00,90.9,6.71,27.82,0.709,197.5,0.0
2024-01-25T15:45:00,95.65,6.717,27.82,0.565,195.8,0.0
2024-01-25T15:50:00,95.0,6.684,28.27,0.438,198.1,0.0
2024-01-25T15:55:00,91.83,6.675,27.81,0.608,208.3,0.0
2024-01-25T16:00:00,89.12,6.735,28.14,0.798,210.1,0.0
2024-01-25T16:05:00,88.56,6.63,27.75,0.589,194.0,0.0
2024-01-25T16:10:00,81.43,6.672,27.1,0.869,195.8,0.0
2024-01-25T16:15:00,90.21,6.703,27.75,0.475,205.3,0.0
2024-01-25T16:20:00,87.09,6.626,27.7,0.593,195.9,0.0
2024-01-25T16:25:00,87.1,6.745,28.12,0.603,186.5,0.0
2024-01-25T16:30:00,83.57,6.627,27.76,0.655,196.7,0.0
2024-01-25T16:35:00,87.2,6.602,28.11,0.29,211.2,0.0
2024-01-25T16:40:00,86.0,6.547,27.91,0.304,203.2,0.0
2024-01-25T16:45:00,86.72,6.696,28.76,0.769,208.6,0.0
2024-01-25T16:50:00,83.18,6.632,27.72,0.494,202.3,0.0
2024-01-25T16:55:00,86.18,6.684,27.97,0.35,195.3,0.0
2024-01-25T17:00:00,82.01,6.626,27.99,0.884,200.1,0.0
2024-01-25T17:05:00,87.5,6.634,27.89,0.665,198.0,0.0
2024-01-25T17:10:00,87.78,6.602,28.25,0.491,200.1,0.0
2024-01-25T17:15:00,87.29,6.593,28.19,0.517,201.1,0.0
2024-01-25T17:20:00,86.97,6.646,28.35,0.505,204.8,0.0
2024-01-25T17:25:00,83.12,6.726,27.58,0.755,204.7,0.0
2024-01-25T17:30:00,82.89,6.606,27.98,0.747,206.5,0.0
2024-01-25T17:35:00,84.81,6.501,28.52,0.495,194.6,0.0
2024-01-25T17:40:00,85.04,6.597,28.24,0.735,208.4,0.0
2024-01-25T17:45:00,86.61,6.611,28.31,0.724,197.7,0.0
2024-01-25T17:50:00,87.5,6.64,27.8,0.916,199.2,0.0
2024-01-25T17:55:00,81.77,6.659,28.0,0.735,201.4,0.0
2024-01-25T18:00:00,81.72,6.555,28.07,0.558,203.4,0.0
2024-01-25T18:05:00,85.34,6.562,28.15,0.731,207.4,0.0
2024-01-25T18:10:00,86.23,6.585,27.55,0.861,194.8,0.0
2024-01-25T18:15:00,84.22,6.587,28.5,0.812,203.6,0.0
2024-01-25T18:20:00,84.3,6.526,27.98,1.001,196.0,0.0
2024-01-25T18:25:00,85.7,6.581,28.37,1.076,189.9,0.0
2024-01-25T18:30:00,80.8,6.552,27.91,0.867,203.3,0.0
2024-01-25T18:35:00,86.6,6.52,28.21,0.795,200.8,0.0
2024-01-25T18:40:00,81.33,6.536,28.33,0.384,202.3,0.0
2024-01-25T18:45:00,82.9,6.628,28.03,0.499,198.4,0.0
2024-01-25T18:50:00,84.75,6.512,28.15,0.882,198.4,0.0
2024-01-25T18:55:00,83.22,6.549,27.77,0.944,195.9,0.0
2024-01-25T19:00:00,82.46,6.536,27.91,1.005,204.5,0.0
2024-01-25T19:05:00,82.13,6.553,28.35,0.667,197.4,0.0
